Code,Item,Group,Region_Number,Region_Name,State_Name,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Arkansas,1734,2018,2283,2556,2725,2994,3280,3524,4012,4368,4880,5416,5783,6152,6521,6993,7395,7967,8374,8964,9567,10371,11301,12074,12949,14098,14876,15826,16597,17376,18000,18588,19253,19643,21061,7.6
1,Personal Health Care (Millions of Dollars),State,8,Far West,California,26712,31184,35337,38422,41600,46649,50522,55512,61496,67135,74392,82017,88568,92585,94910,97567,100943,104389,112011,116803,122359,133083,144657,159140,171069,184021,195382,210323,221784,230179,243177,255695,269223,281184,295045,7.3
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,2776,3328,3807,4212,4608,5085,5405,5874,6493,7052,7896,8734,9515,10101,10680,11456,12167,12900,14169,15175,16761,18150,19614,21209,22627,23333,25416,27165,28513,30047,30986,32191,33551,34969,37316,7.9
1,Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,3167,3649,4176,4630,5129,5597,6215,6989,8009,9140,10073,10963,11705,12329,12966,13801,14236,15033,16013,16829,17690,19053,20482,21593,23466,24400,25839,27303,28960,30934,31560,32003,33296,34150,35332,7.4
1,Personal Health Care (Millions of Dollars),State,2,Mideast,Delaware,535,605,696,770,872,988,1080,1214,1364,1537,1713,1891,2085,2240,2431,2578,2666,2922,3088,3414,3620,3902,4321,4895,5323,5703,6054,6476,6904,7188,7612,8004,8231,8608,9164,8.7
1,Personal Health Care (Millions of Dollars),State,2,Mideast,District of Columbia,1354,1536,1734,1892,2104,2259,2526,2760,3044,3303,3539,3826,3958,4144,4097,4115,4182,4184,4316,4571,4550,4953,5357,5733,6292,6578,6896,7419,7906,8592,9086,9717,9944,10365,11024,6.4
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Florida,9824,11683,13513,15634,17445,20049,21851,24402,28000,31491,35973,39404,42781,45884,48730,51450,55114,58760,61528,65502,71623,77653,83963,90752,99171,106417,114160,120856,126763,132654,137071,140866,147117,149968,160204,8.6
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Georgia,4538,5257,5935,6662,7473,8436,9478,10666,11998,13490,15295,16934,18557,20067,21115,22628,23981,25347,26889,28236,30084,32284,35635,38014,42017,44200,47799,50488,51595,53734,54582,56678,60293,63178,67313,8.3
1,Personal Health Care (Millions of Dollars),State,8,Far West,Hawaii,922,1097,1266,1374,1476,1651,1777,1979,2137,2378,2740,3029,3227,3514,3784,4045,4326,4332,4513,4632,4769,5087,5515,6001,6447,7031,7335,8087,8565,8866,8920,9067,9585,9917,10470,7.4
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,636,740,831,925,1004,1126,1198,1281,1445,1543,1767,1980,2172,2357,2497,2724,2967,3207,3455,3702,4042,4423,4944,5357,5807,6431,7005,7541,7897,8362,8908,9202,9630,10067,10773,8.7
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Illinois,11798,13365,14611,15764,17035,18484,19370,20685,22913,25063,27769,30335,32969,34943,36851,38762,40675,42674,44924,46999,50344,53928,58087,61652,65266,69432,73869,79224,81892,85387,89754,91930,94755,97788,102106,6.6
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Indiana,4626,5315,6004,6518,7128,7775,8392,9218,10202,11377,12921,14342,15642,16818,17525,18425,18831,20352,21705,23108,24626,26734,28829,31372,33978,35675,38251,40428,41523,44314,45862,48070,51986,52722,55414,7.6
1,Personal Health Care (Millions of Dollars),State,4,Plains,Iowa,2717,3123,3434,3665,3856,4115,4339,4732,5153,5670,6292,6822,7229,7665,8138,8592,9161,9667,10525,11182,11847,12776,13529,14612,15451,16450,17511,18340,19096,19903,20644,21394,22115,22659,23949,6.6
1,Personal Health Care (Millions of Dollars),State,4,Plains,Kansas,2302,2677,2928,3120,3328,3643,3848,4134,4548,5037,5680,6177,6646,6972,7439,7987,8472,9033,9656,10304,11030,11934,12790,13650,14655,15560,16406,17393,18233,18954,19418,20363,21506,21433,22126,6.9
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Kentucky,2701,3151,3568,3916,4301,4647,5131,5630,6222,6870,7770,8709,9517,10099,10590,11450,12310,13375,14184,15276,16774,18064,19618,20787,22202,23511,24948,26032,26877,28404,29455,30618,31261,32455,34450,7.8
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Louisiana,3574,4290,4969,5532,6107,6625,7063,7574,8245,8982,10176,11331,12347,13223,13996,14672,15249,16043,16675,17603,18267,19357,20675,22340,23979,24750,25481,27524,29419,31411,33015,32853,33632,34632,36359,7.1
1,Personal Health Care (Millions of Dollars),State,1,New England,Maine,984,1123,1270,1400,1524,1652,1791,1980,2280,2536,2820,3059,3216,3458,3608,3946,4288,4629,5008,5449,5864,6431,7061,7751,8422,8991,9483,9939,10403,10750,10992,11356,11592,11754,12308,7.7
1,Personal Health Care (Millions of Dollars),State,2,Mideast,Maryland,4112,4719,5239,5741,6442,7018,7757,8658,9735,10713,11860,13031,14112,15095,16200,16981,17994,18905,19337,20761,22351,24490,26784,29163,31371,33452,36217,38424,40175,42000,43863,45351,46795,47909,50103,7.6
1,Personal Health Care (Millions of Dollars),State,1,New England,Massachusetts,6744,7696,8613,9394,10294,11096,12183,13565,15465,17367,19144,20556,21771,23393,24329,25751,27106,28709,30883,31747,33851,36870,40252,43480,46129,48968,52937,57025,59868,63148,65033,66891,69090,71040,73395,7.3
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Michigan,9571,10850,11717,12779,13863,15094,16537,17451,19339,20589,22579,24458,25847,27369,29040,31123,33041,34737,35549,37082,39272,41698,44379,47549,51266,54046,57931,60997,63285,65960,68692,71343,73494,74516,77617,6.3
1,Personal Health Care (Millions of Dollars),State,4,Plains,Minnesota,4478,5235,5731,6338,6913,7734,8165,8788,9800,10841,11972,12939,13381,14264,15407,16496,17423,18502,20222,21390,23326,25461,27739,29906,31799,33604,35734,38145,39529,41456,43124,44379,45766,47667,50150,7.4
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Mississippi,1748,2008,2274,2534,2766,2938,3196,3420,3864,4270,4745,5214,5641,6134,6622,7268,7800,8421,8808,9186,10087,11094,12032,12859,14009,14963,16078,17282,18087,18631,18709,19264,20863,20785,21559,7.7
1,Personal Health Care (Millions of Dollars),State,4,Plains,Missouri,4815,5532,6290,6917,7451,8213,8888,9618,10445,11475,12674,13670,14864,15847,17001,17757,18819,19951,21309,22478,24178,25955,28380,30506,32187,33633,34688,38181,40719,42197,43761,45865,47817,48555,50215,7.1
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Montana,618,719,826,904,971,1064,1163,1235,1365,1495,1662,1842,2013,2124,2220,2436,2510,2739,2901,3129,3394,3729,3983,4318,4608,5004,5364,5751,6099,6467,6825,7146,7520,7935,8226,7.9
1,Personal Health Care (Millions of Dollars),State,4,Plains,Nebraska,1439,1675,1907,2071,2164,2311,2486,2591,2925,3190,3579,3886,4177,4408,4691,4962,5399,5678,6055,6484,7146,7903,8483,9162,9909,10646,11489,12083,12780,13286,14052,14515,15120,15521,16168,7.4
1,Personal Health Care (Millions of Dollars),State,8,Far West,Nevada,845,1029,1162,1297,1398,1552,1722,1883,2156,2460,2829,3178,3547,3784,4200,4490,4851,5290,5758,6320,7058,7924,9063,10060,11204,12158,13143,14256,15018,15338,15592,16073,16325,17232,18755,9.5
1,Personal Health Care (Millions of Dollars),State,1,New England,New Hampshire,682,807,925,1029,1153,1310,1496,1748,1971,2242,2513,2726,3017,3255,3379,3699,3994,4237,4582,4986,5306,5668,6039,6542,7201,7923,8541,9125,9610,10337,10775,11198,11563,11972,12322,8.9
1,Personal Health Care (Millions of Dollars),State,2,Mideast,New Jersey,6425,7404,8316,9287,10583,11516,12585,14188,16041,17978,20293,22012,24347,25688,27411,29174,30181,31795,33675,35211,38524,40765,44404,47032,49963,53702,56046,59153,61089,64800,65341,66936,69884,71439,75157,7.5
1,Personal Health Care (Millions of Dollars),State,6,Southwest,New Mexico,940,1124,1277,1441,1621,1845,2004,2203,2460,2725,2990,3304,3628,3877,4132,4524,4899,5211,5418,5686,5942,6403,6944,7421,8244,9149,9702,10430,11184,11899,12483,12777,13153,13293,13949,8.3
1,Personal Health Care (Millions of Dollars),State,2,Mideast,New York,19255,21651,23854,26258,29212,31870,34639,38742,43066,47690,53201,57765,62344,66587,70434,74108,78009,81394,86329,91449,96365,104392,112359,122245,129744,135464,143422,150434,155416,164949,170825,176248,178308,184627,193554,7
1,Personal Health Care (Millions of Dollars),State,5,Southeast,North Carolina,4221,4890,5481,6018,6779,7221,8109,9337,10466,12026,13753,15449,17011,18607,20172,21881,23836,25729,27019,29348,32184,36082,38381,41552,45316,48697,52519,55152,58158,62090,63661,66122,69398,69490,72433,8.7
1,Personal Health Care (Millions of Dollars),State,4,Plains,North Dakota,647,766,877,987,1074,1153,1261,1405,1512,1644,1762,1888,2025,2115,2255,2456,2555,2655,2826,2911,3060,3347,3680,3818,4121,4366,4619,4932,5264,5666,6021,6454,6765,7310,7841,7.6
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Ohio,10216,12001,13535,14832,16138,17481,19153,20641,22683,24530,26838,29314,31900,33846,35312,37252,39660,40822,42384,44713,47941,53097,57652,62148,66431,70315,73507,76841,79139,84938,87509,89098,94367,97185,102419,7
1,Personal Health Care (Millions of Dollars),State,6,Southwest,Oklahoma,2643,3180,3629,3767,4103,4473,4749,5020,5468,5932,6505,7108,7722,8100,8749,9483,10182,10564,11096,11734,12447,13636,14570,15979,16800,18255,19562,21009,22353,23094,23843,24993,26056,26729,28169,7.2
1,Personal Health Care (Millions of Dollars),State,8,Far West,Oregon,2406,2792,3096,3337,3582,3892,4227,4508,5142,5672,6311,6729,7451,7965,8377,9011,9514,10195,11344,12039,12810,14399,15436,16605,18009,19564,21209,22405,23543,24878,26015,27134,27863,29425,31974,7.9
1,Personal Health Care (Millions of Dollars),State,2,Mideast,Pennsylvania,11799,13689,15567,17216,18941,20848,22589,24735,27150,29722,33275,36738,39882,42051,43743,46178,47352,49950,52013,55427,58955,63511,67701,72976,77895,83195,87440,92806,96624,99993,105726,109886,112510,115562,120602,7.1
1,Personal Health Care (Millions of Dollars),State,1,New England,Rhode Island,991,1118,1249,1406,1549,1713,1880,2042,2246,2503,2759,2917,3140,3329,3384,3774,3920,4165,4453,4709,5103,5545,6082,6578,7116,7661,7943,8323,8621,8916,9085,9298,9499,9698,10081,7.1
1,Personal Health Care (Millions of Dollars),State,5,Southeast,South Carolina,2112,2453,2701,3043,3454,3801,4243,4644,5277,5919,6861,7678,8424,9105,9772,10398,10984,12161,12877,13865,14936,16590,18009,19345,20830,22207,23647,25094,26734,27895,28986,29854,30660,31702,33467,8.5
1,Personal Health Care (Millions of Dollars),State,4,Plains,South Dakota,582,674,752,843,899,979,1066,1132,1247,1378,1544,1677,1838,1943,2122,2322,2509,2682,2816,3082,3277,3462,3849,4151,4372,4778,5123,5416,5768,6144,6538,6929,7240,7510,7930,8
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Tennessee,4018,4672,5299,5917,6564,7094,7948,8583,9611,10731,12123,13643,14879,16123,16951,18399,19666,20908,21832,22852,24596,27160,28578,31275,34346,36396,38175,40397,41393,43116,44230,45338,47545,48550,50843,7.8
1,Personal Health Care (Millions of Dollars),State,6,Southwest,Texas,12656,15114,17421,19322,21032,23468,25124,27062,30036,33304,37675,41787,45866,49056,51372,55417,59415,64421,68357,73239,78020,85657,94107,100067,107029,117900,126042,133833,143124,152217,159119,166180,175394,180956,193436,8.4
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Utah,1104,1317,1491,1656,1802,2042,2161,2432,2724,2997,3322,3679,3938,4294,4511,4861,5328,5894,6170,6329,7016,7774,8689,9428,10309,11197,11999,12988,13903,14583,15120,15891,16779,17456,18747,8.7
1,Personal Health Care (Millions of Dollars),State,1,New England,Vermont,391,452,526,570,604,658,736,801,914,1027,1155,1256,1347,1453,1557,1722,1800,1903,2020,2197,2463,2703,2998,3359,3593,3836,3994,4157,4319,4552,4755,4949,5181,5550,5706,8.2
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Virginia,4315,5061,5711,6273,6946,7803,8561,9401,10501,11837,13252,14663,15492,16543,17535,18510,19803,21122,22277,23575,25956,27467,30187,33085,36048,38664,41335,44133,47163,50446,52210,54805,57447,59164,61625,8.1
1,Personal Health Care (Millions of Dollars),State,8,Far West,Washington,3794,4439,5012,5530,6013,6745,7352,7950,8936,9845,11253,12721,13937,14575,15374,16614,17256,18069,19858,21683,23057,25159,27643,29927,31849,34206,36566,39661,42661,45722,47168,48628,51561,53119,55902,8.2
1,Personal Health Care (Millions of Dollars),State,5,Southeast,West Virginia,1568,1832,2065,2251,2406,2609,2835,3018,3298,3629,4020,4433,4898,5251,5582,5989,6292,6685,6975,7279,7635,8319,8948,9589,10239,10864,11415,12091,12502,13325,13637,14126,14931,15197,15991,7.1
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Wisconsin,4448,5137,5573,6075,6613,7076,7768,8441,9120,10223,11308,12519,13455,14412,15290,16352,17456,18363,19340,21095,22859,25381,27386,29331,31587,33770,36191,38244,40188,42267,43599,45301,45958,46832,49993,7.4
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Wyoming,328,392,452,503,540,572,605,632,689,727,801,851,901,988,1079,1182,1273,1344,1450,1522,1677,1806,2015,2149,2299,2504,2735,2960,3107,3221,3395,3501,3680,3740,3913,7.6
2,Hospital Care (Millions of Dollars),United States,0,United States,,100517,117480,133647,144745,154366,164575,175629,189545,206455,225968,250439,275768,298477,315749,328366,339313,350799,363404,374917,393624,415531,449358,486479,525905,565378,608553,651220,691973,725711,779689,822405,852020,902676,937877,980966,6.9
2,Hospital Care (Millions of Dollars),Region,1,New England,,6385,7349,8265,8920,9591,10137,10681,11593,12851,14122,15220,16461,17508,18446,18956,19294,19875,20747,21564,22385,23626,25733,28110,31210,33578,35442,39021,41749,43943,47284,49676,51178,52929,54518,55801,6.6
2,Hospital Care (Millions of Dollars),Region,2,Mideast,,21357,24420,27451,29613,31775,33975,36518,39571,43069,47255,52155,56977,61537,65290,67995,69398,70259,71730,72793,75348,79365,84372,90672,98103,105059,111752,119424,125864,129569,138381,145150,150200,156876,163057,169010,6.3
2,Hospital Care (Millions of Dollars),Region,3,Great Lakes,,19441,22459,25262,27109,28528,29869,31480,33372,35911,38621,42444,46538,50184,53069,55485,57667,59748,62093,63120,66085,69216,74214,79828,86243,93538,100726,108338,115560,118880,128801,135474,139203,148699,153036,161291,6.4
2,Hospital Care (Millions of Dollars),Region,4,Plains,,7734,8961,10119,10891,11353,12132,12739,13635,14655,16018,17764,19395,20757,21862,23379,24419,25433,26880,27581,29305,30946,33616,36528,39516,42388,46053,48742,52710,56284,59362,62116,64829,68021,70332,73652,6.9
2,Hospital Care (Millions of Dollars),Region,5,Southeast,,20338,24116,28006,30869,33196,35649,38510,41765,46100,51269,57520,64151,69688,73923,77051,80660,84824,88650,91172,95346,100997,108381,116803,125281,134615,144603,154040,162287,168523,181092,189036,193703,207608,214501,225496,7.3
2,Hospital Care (Millions of Dollars),Region,6,Southwest,,8190,9950,11565,12658,13659,14551,15508,16837,18487,20337,22838,25484,28081,30015,30928,32117,33773,35066,37011,38971,41096,45308,50251,54105,57659,64274,68325,72656,78196,84509,89675,92746,99222,103147,108183,7.9
2,Hospital Care (Millions of Dollars),Region,7,Rocky Mountains,,2304,2793,3244,3522,3731,3968,4207,4588,4991,5402,6053,6780,7375,7717,8031,8609,9013,9616,9973,10492,11537,12750,13851,14996,16397,17581,19176,20755,22218,24206,25888,27225,28835,30798,33051,8.1
2,Hospital Care (Millions of Dollars),Region,8,Far West,,14768,17433,19736,21163,22534,24295,25987,28184,30391,32945,36446,39982,43348,45427,46542,47148,47874,48622,51702,55691,58748,64984,70437,76450,82145,88123,94153,100391,108098,116054,125390,132936,140487,148489,154482,7.1
2,Hospital Care (Millions of Dollars),State,5,Southeast,Alabama,1575,1855,2147,2354,2463,2580,2732,2882,3161,3524,3964,4452,4954,5122,5315,5745,6078,6100,6011,6155,6353,6632,7020,7443,7807,8595,8994,9222,9424,10112,10286,10526,11380,12012,12243,6.2
2,Hospital Care (Millions of Dollars),State,8,Far West,Alaska,205,231,264,295,335,373,403,421,452,486,553,626,683,723,751,845,931,999,1013,1077,1205,1372,1441,1527,1633,1912,2076,2238,2454,2580,2750,2850,2917,3053,3305,8.5
2,Hospital Care (Millions of Dollars),State,6,Southwest,Arizona,1078,1290,1480,1677,1883,2071,2267,2482,2710,2874,3181,3483,3703,3933,4171,4333,4509,4751,5118,5345,5799,6099,6950,7850,8545,10378,11041,11955,12689,13761,14569,14538,15144,15739,15960,8.2
2,Hospital Care (Millions of Dollars),State,5,Southeast,Arkansas,738,878,1051,1171,1237,1295,1375,1479,1643,1849,2080,2304,2504,2616,2695,2851,3031,3173,3348,3459,3663,4027,4357,4602,4818,5191,5401,5607,5973,6313,6514,6693,7051,7129,7452,7
2,Hospital Care (Millions of Dollars),State,8,Far West,California,11525,13577,15303,16359,17342,18664,19957,21597,23261,25122,27550,30122,32403,33834,34296,34325,34391,34726,37263,39743,41882,46162,49624,53883,57808,61544,65632,69131,74032,79161,86642,92850,97907,103929,107074,6.8
2,Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,1203,1467,1705,1842,1940,2063,2166,2318,2532,2707,3054,3424,3706,3833,3956,4203,4331,4505,4706,5034,5576,6225,6731,7246,7909,8120,8943,9695,10361,11371,12147,12517,13105,14218,15213,7.7
2,Hospital Care (Millions of Dollars),State,1,New England,Connecticut,1374,1587,1826,1995,2150,2282,2400,2631,2956,3317,3585,3886,4101,4230,4345,4298,4394,4532,4730,4891,5005,5418,5887,6334,6885,6972,7651,7995,8542,9414,9984,10555,10991,11556,11732,6.5
2,Hospital Care (Millions of Dollars),State,2,Mideast,Delaware,256,289,336,368,391,428,462,511,566,621,697,766,840,928,990,1040,1004,1106,1129,1186,1198,1295,1440,1674,1829,2043,2184,2370,2467,2554,2862,3009,3145,3402,3594,8.1
2,Hospital Care (Millions of Dollars),State,2,Mideast,District of Columbia,901,1019,1150,1263,1361,1444,1578,1730,1837,1958,2083,2240,2375,2500,2442,2389,2505,2481,2565,2747,2604,2808,3007,3249,3620,3977,4228,4426,4721,5071,5144,5460,5620,5809,6036,5.8
2,Hospital Care (Millions of Dollars),State,5,Southeast,Florida,4347,5224,6208,6989,7620,8316,8864,9735,10948,11987,13282,14684,15737,16675,17218,17830,18828,19777,20214,21278,22856,24579,27131,28902,31126,33372,35873,37767,39090,42435,44800,45248,48917,50173,53817,7.7
2,Hospital Care (Millions of Dollars),State,5,Southeast,Georgia,2121,2469,2842,3168,3452,3809,4256,4728,5250,5883,6556,7257,7920,8489,8810,9139,9525,9761,10147,10428,11191,11943,12772,13757,14638,15754,16821,17667,18033,19309,19770,20327,22126,23806,25171,7.5
2,Hospital Care (Millions of Dollars),State,8,Far West,Hawaii,358,430,509,544,588,640,695,783,843,946,1131,1230,1335,1459,1553,1619,1741,1662,1648,1709,1760,1964,2026,2215,2303,2557,2659,2838,3108,3270,3323,3319,3676,3844,3973,7.3
2,Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,241,288,334,369,392,413,441,486,521,572,655,742,830,873,930,1005,1103,1161,1258,1335,1414,1566,1727,1889,2006,2292,2558,2773,2833,3096,3355,3717,4078,4283,4644,9.1
2,Hospital Care (Millions of Dollars),State,3,Great Lakes,Illinois,6168,7040,7766,8157,8542,8920,9221,9660,10361,11177,12272,13421,14554,15255,15904,16394,16785,17372,17681,18390,19328,20481,21789,23179,24539,26297,28054,30630,31289,32693,34439,35431,36829,38730,41118,5.7
2,Hospital Care (Millions of Dollars),State,3,Great Lakes,Indiana,2102,2463,2835,3093,3217,3373,3569,3826,4205,4619,5149,5852,6388,6876,7135,7400,7146,8052,8402,8892,9355,9820,10617,11619,12888,13486,14656,15848,16053,18065,18835,19895,22476,22189,23397,7.3
2,Hospital Care (Millions of Dollars),State,4,Plains,Iowa,1169,1361,1537,1616,1650,1716,1817,2000,2175,2353,2603,2824,2954,3122,3349,3515,3712,3860,4095,4323,4502,4831,5152,5453,5795,6250,6666,6998,7294,7667,8065,8336,8704,8993,9426,6.3
2,Hospital Care (Millions of Dollars),State,4,Plains,Kansas,1075,1262,1408,1477,1505,1582,1611,1708,1811,2018,2251,2439,2696,2780,2982,3141,3221,3374,3427,3725,3720,3975,4220,4500,4903,5290,5775,6167,6520,6869,7144,7440,8047,8088,8520,6.3
2,Hospital Care (Millions of Dollars),State,5,Southeast,Kentucky,1217,1438,1684,1837,1948,2133,2300,2488,2703,2995,3392,3847,4200,4408,4550,4750,5061,5458,5690,5862,6252,6755,7287,7601,8214,9165,9857,10236,10562,11398,11923,12371,12604,13241,13789,7.4
2,Hospital Care (Millions of Dollars),State,5,Southeast,Louisiana,1707,2109,2447,2669,2915,3100,3284,3455,3621,3969,4540,5066,5455,5843,6191,6447,6539,6741,6948,7189,7162,7704,8243,8755,9257,9528,9600,10254,10898,11877,12828,12544,12739,13394,14153,6.4
2,Hospital Care (Millions of Dollars),State,1,New England,Maine,456,526,594,653,689,729,767,828,922,1006,1101,1190,1260,1339,1416,1530,1646,1731,1803,1917,2055,2225,2421,2677,2951,3259,3504,3706,3949,4097,4413,4703,4890,4895,5064,7.3
2,Hospital Care (Millions of Dollars),State,2,Mideast,Maryland,2012,2274,2524,2684,2803,2940,3175,3461,3784,4183,4558,4974,5371,5742,5990,6299,6597,6821,6914,7149,7616,8343,9034,9923,10797,11700,12488,13418,14209,14889,15743,16564,17019,17380,18082,6.7
2,Hospital Care (Millions of Dollars),State,1,New England,Massachusetts,3600,4129,4597,4897,5269,5516,5769,6227,6860,7451,7992,8667,9205,9761,10018,10049,10363,10804,11296,11575,12240,13447,14630,16395,17437,18372,20358,22019,22952,24530,25542,25797,26598,27251,27825,6.2
2,Hospital Care (Millions of Dollars),State,3,Great Lakes,Michigan,4455,5031,5619,6096,6482,6840,7281,7753,8307,8578,9410,10204,10850,11500,12225,13023,13633,13950,14165,14557,15034,15658,16656,17988,19631,21231,22990,24470,25028,26098,27727,28553,29760,30125,31199,5.9
2,Hospital Care (Millions of Dollars),State,4,Plains,Minnesota,1727,1961,2163,2368,2506,2693,2806,3016,3329,3629,4040,4414,4605,4686,5089,5322,5390,6141,6149,6798,7366,8010,8990,9659,10487,11468,12341,13126,13760,14801,15498,16460,17013,18041,18895,7.3
2,Hospital Care (Millions of Dollars),State,5,Southeast,Mississippi,858,986,1147,1272,1338,1407,1495,1606,1752,1940,2145,2350,2595,2786,3031,3401,3591,3667,3925,4021,4254,4620,4943,5230,5774,6002,6491,7045,7460,7576,7371,7509,8688,8750,8944,7.1
2,Hospital Care (Millions of Dollars),State,4,Plains,Missouri,2505,2903,3315,3595,3756,4123,4404,4693,4926,5361,5903,6435,6960,7538,7960,8144,8461,8684,8951,9199,9733,10560,11428,12821,13594,14588,14744,16822,18437,18947,19591,20125,21232,21415,22112,6.6
2,Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Montana,267,318,374,410,424,441,474,511,560,621,692,781,850,892,930,1029,999,1149,1232,1328,1402,1530,1616,1747,1904,2139,2310,2450,2608,2820,3021,3181,3336,3644,3728,8.1
